,TP,TN,FP,FN,Class
277,0,2374.0,2,43.0,BuildingNonResidential
278,0,2374.0,2,43.0,BuildingNonResidential
279,0,2374.0,2,43.0,BuildingNonResidential
280,0,2374.0,2,43.0,BuildingNonResidential
281,0,2374.0,2,43.0,BuildingNonResidential
282,0,2374.0,2,43.0,BuildingNonResidential
283,0,2374.0,2,43.0,BuildingNonResidential
284,0,2374.0,2,43.0,BuildingNonResidential
285,0,2374.0,2,43.0,BuildingNonResidential
286,0,2374.0,2,43.0,BuildingNonResidential
287,0,2374.0,2,43.0,BuildingNonResidential
288,0,2374.0,2,43.0,BuildingNonResidential
289,0,2374.0,2,43.0,BuildingNonResidential
290,0,2374.0,2,43.0,BuildingNonResidential
291,0,2374.0,2,43.0,BuildingNonResidential
292,0,2374.0,2,43.0,BuildingNonResidential
293,0,2374.0,2,43.0,BuildingNonResidential
294,0,2374.0,2,43.0,BuildingNonResidential
295,0,2374.0,2,43.0,BuildingNonResidential
296,0,2374.0,2,43.0,BuildingNonResidential
297,0,2400.0,2,17.0,Bus
298,0,2400.0,2,17.0,Bus
299,0,2400.0,2,17.0,Bus
300,0,2400.0,2,17.0,Bus
301,0,2400.0,2,17.0,Bus
302,0,2400.0,2,17.0,Bus
303,0,2400.0,2,17.0,Bus
304,0,2400.0,2,17.0,Bus
305,0,2400.0,2,17.0,Bus
306,0,2400.0,2,17.0,Bus
307,0,2400.0,2,17.0,Bus
308,0,2400.0,2,17.0,Bus
309,0,2400.0,2,17.0,Bus
310,1.0,2401.0,1.0,16.0,Bus
311,0,2400.0,2,17.0,Bus
312,0,2400.0,2,17.0,Bus
313,1.0,2401.0,1.0,16.0,Bus
314,0,2328.0,2,89.0,Car
315,0,2328.0,2,89.0,Car
316,0,2328.0,2,89.0,Car
317,1.0,2329.0,1.0,88.0,Car
318,0,2328.0,2,89.0,Car
319,1.0,2329.0,1.0,88.0,Car
320,0,2328.0,2,89.0,Car
321,1.0,2329.0,1.0,88.0,Car
322,0,2328.0,2,89.0,Car
323,0,2328.0,2,89.0,Car
324,1.0,2329.0,1.0,88.0,Car
325,0,2328.0,2,89.0,Car
326,0,2328.0,2,89.0,Car
327,0,2328.0,2,89.0,Car
328,1.0,2329.0,1.0,88.0,Car
329,1.0,2329.0,1.0,88.0,Car
330,1.0,2329.0,1.0,88.0,Car
331,0,2328.0,2,89.0,Car
332,1.0,2329.0,1.0,88.0,Car
333,1.0,2329.0,1.0,88.0,Car
334,1.0,2329.0,1.0,88.0,Car
335,1.0,2329.0,1.0,88.0,Car
336,1.0,2329.0,1.0,88.0,Car
337,0,2328.0,2,89.0,Car
338,0,2328.0,2,89.0,Car
339,0,2328.0,2,89.0,Car
340,0,2328.0,2,89.0,Car
341,1.0,2329.0,1.0,88.0,Car
342,1.0,2329.0,1.0,88.0,Car
343,1.0,2329.0,1.0,88.0,Car
344,0,2328.0,2,89.0,Car
345,0,2328.0,2,89.0,Car
346,1.0,2329.0,1.0,88.0,Car
347,0,2328.0,2,89.0,Car
348,0,2328.0,2,89.0,Car
349,0,2328.0,2,89.0,Car
350,1.0,2329.0,1.0,88.0,Car
351,0,2328.0,2,89.0,Car
352,1.0,2329.0,1.0,88.0,Car
353,1.0,2329.0,1.0,88.0,Car
354,0,2328.0,2,89.0,Car
355,1.0,2329.0,1.0,88.0,Car
356,1.0,2329.0,1.0,88.0,Car
357,0,2328.0,2,89.0,Car
358,0,2328.0,2,89.0,Car
359,1.0,2329.0,1.0,88.0,Car
360,0,2328.0,2,89.0,Car
361,1.0,2329.0,1.0,88.0,Car
362,1.0,2329.0,1.0,88.0,Car
363,1.0,2329.0,1.0,88.0,Car
364,1.0,2329.0,1.0,88.0,Car
365,0,2328.0,2,89.0,Car
366,1.0,2329.0,1.0,88.0,Car
367,1.0,2329.0,1.0,88.0,Car
368,1.0,2329.0,1.0,88.0,Car
369,1.0,2329.0,1.0,88.0,Car
370,0,2328.0,2,89.0,Car
371,1.0,2329.0,1.0,88.0,Car
372,1.0,2329.0,1.0,88.0,Car
373,1.0,2329.0,1.0,88.0,Car
374,1.0,2329.0,1.0,88.0,Car
375,1.0,2329.0,1.0,88.0,Car
376,1.0,2329.0,1.0,88.0,Car
377,1.0,2329.0,1.0,88.0,Car
378,1.0,2329.0,1.0,88.0,Car
379,1.0,2329.0,1.0,88.0,Car
380,1.0,2329.0,1.0,88.0,Car
381,1.0,2329.0,1.0,88.0,Car
382,0,2328.0,2,89.0,Car
383,1.0,2329.0,1.0,88.0,Car
384,0,2328.0,2,89.0,Car
385,1.0,2329.0,1.0,88.0,Car
386,1.0,2329.0,1.0,88.0,Car
387,0,2328.0,2,89.0,Car
388,0,2328.0,2,89.0,Car
389,1.0,2329.0,1.0,88.0,Car
390,0,2328.0,2,89.0,Car
391,0,2328.0,2,89.0,Car
392,1.0,2329.0,1.0,88.0,Car
393,0,2328.0,2,89.0,Car
394,0,2328.0,2,89.0,Car
395,0,2328.0,2,89.0,Car
396,1.0,2329.0,1.0,88.0,Car
397,0,2328.0,2,89.0,Car
398,0,2328.0,2,89.0,Car
399,0,2328.0,2,89.0,Car
400,0,2328.0,2,89.0,Car
401,0,2328.0,2,89.0,Car
402,0,2328.0,2,89.0,Car
403,0,2397.0,2,20.0,Cellphone
404,1.0,2398.0,1.0,19.0,Cellphone
405,1.0,2398.0,1.0,19.0,Cellphone
406,1.0,2398.0,1.0,19.0,Cellphone
407,1.0,2398.0,1.0,19.0,Cellphone
408,0,2397.0,2,20.0,Cellphone
409,0,2397.0,2,20.0,Cellphone
410,1.0,2398.0,1.0,19.0,Cellphone
411,1.0,2398.0,1.0,19.0,Cellphone
412,0,2397.0,2,20.0,Cellphone
413,0,2397.0,2,20.0,Cellphone
414,1.0,2398.0,1.0,19.0,Cellphone
415,0,2397.0,2,20.0,Cellphone
416,0,2397.0,2,20.0,Cellphone
417,0,2397.0,2,20.0,Cellphone
418,1.0,2398.0,1.0,19.0,Cellphone
419,0,2397.0,2,20.0,Cellphone
420,0,2397.0,2,20.0,Cellphone
421,0,2397.0,2,20.0,Cellphone
422,0,2397.0,2,20.0,Cellphone
423,0,2375.0,2,42.0,Chess
424,1.0,2376.0,1.0,41.0,Chess
425,1.0,2376.0,1.0,41.0,Chess
426,1.0,2376.0,1.0,41.0,Chess
427,1.0,2376.0,1.0,41.0,Chess
428,1.0,2376.0,1.0,41.0,Chess
429,1.0,2376.0,1.0,41.0,Chess
430,1.0,2376.0,1.0,41.0,Chess
431,1.0,2376.0,1.0,41.0,Chess
432,1.0,2376.0,1.0,41.0,Chess
433,1.0,2376.0,1.0,41.0,Chess
434,1.0,2376.0,1.0,41.0,Chess
435,1.0,2376.0,1.0,41.0,Chess
436,1.0,2376.0,1.0,41.0,Chess
437,1.0,2376.0,1.0,41.0,Chess
438,1.0,2376.0,1.0,41.0,Chess
439,1.0,2376.0,1.0,41.0,Chess
440,1.0,2376.0,1.0,41.0,Chess
441,1.0,2376.0,1.0,41.0,Chess
442,1.0,2376.0,1.0,41.0,Chess
443,0,2375.0,2,42.0,Chess
444,0,2375.0,2,42.0,Chess
445,0,2375.0,2,42.0,Chess
446,0,2375.0,2,42.0,Chess
447,0,2375.0,2,42.0,Chess
448,1.0,2376.0,1.0,41.0,Chess
449,1.0,2376.0,1.0,41.0,Chess
450,1.0,2376.0,1.0,41.0,Chess
451,1.0,2376.0,1.0,41.0,Chess
452,1.0,2376.0,1.0,41.0,Chess
453,1.0,2376.0,1.0,41.0,Chess
454,1.0,2376.0,1.0,41.0,Chess
455,1.0,2376.0,1.0,41.0,Chess
456,1.0,2376.0,1.0,41.0,Chess
457,1.0,2376.0,1.0,41.0,Chess
458,1.0,2376.0,1.0,41.0,Chess
459,1.0,2376.0,1.0,41.0,Chess
460,1.0,2376.0,1.0,41.0,Chess
461,1.0,2376.0,1.0,41.0,Chess
462,1.0,2376.0,1.0,41.0,Chess
463,1.0,2376.0,1.0,41.0,Chess
464,1.0,2376.0,1.0,41.0,Chess
465,0,2394.0,2,23.0,City
466,0,2394.0,2,23.0,City
467,0,2394.0,2,23.0,City
468,1.0,2395.0,1.0,22.0,City
469,1.0,2395.0,1.0,22.0,City
470,1.0,2395.0,1.0,22.0,City
471,0,2394.0,2,23.0,City
472,0,2394.0,2,23.0,City
473,1.0,2395.0,1.0,22.0,City
474,1.0,2395.0,1.0,22.0,City
475,1.0,2395.0,1.0,22.0,City
476,0,2394.0,2,23.0,City
477,1.0,2395.0,1.0,22.0,City
478,1.0,2395.0,1.0,22.0,City
479,0,2394.0,2,23.0,City
480,0,2394.0,2,23.0,City
481,1.0,2395.0,1.0,22.0,City
482,1.0,2395.0,1.0,22.0,City
483,1.0,2395.0,1.0,22.0,City
484,1.0,2395.0,1.0,22.0,City
485,1.0,2395.0,1.0,22.0,City
486,1.0,2395.0,1.0,22.0,City
487,0,2394.0,2,23.0,City
488,1.0,2402.0,1.0,15.0,ClassicPiano
489,0,2401.0,2,16.0,ClassicPiano
490,0,2401.0,2,16.0,ClassicPiano
491,1.0,2402.0,1.0,15.0,ClassicPiano
492,0,2401.0,2,16.0,ClassicPiano
493,0,2401.0,2,16.0,ClassicPiano
494,0,2401.0,2,16.0,ClassicPiano
495,0,2401.0,2,16.0,ClassicPiano
496,0,2401.0,2,16.0,ClassicPiano
497,1.0,2402.0,1.0,15.0,ClassicPiano
498,0,2401.0,2,16.0,ClassicPiano
499,1.0,2402.0,1.0,15.0,ClassicPiano
500,0,2401.0,2,16.0,ClassicPiano
501,1.0,2402.0,1.0,15.0,ClassicPiano
502,1.0,2402.0,1.0,15.0,ClassicPiano
503,0,2401.0,2,16.0,ClassicPiano
504,0,2385.0,2,32.0,Computer
505,1.0,2386.0,1.0,31.0,Computer
506,1.0,2386.0,1.0,31.0,Computer
507,1.0,2386.0,1.0,31.0,Computer
508,1.0,2386.0,1.0,31.0,Computer
509,0,2385.0,2,32.0,Computer
510,1.0,2386.0,1.0,31.0,Computer
511,0,2385.0,2,32.0,Computer
512,1.0,2386.0,1.0,31.0,Computer
513,1.0,2386.0,1.0,31.0,Computer
514,0,2385.0,2,32.0,Computer
515,0,2385.0,2,32.0,Computer
516,1.0,2386.0,1.0,31.0,Computer
517,0,2385.0,2,32.0,Computer
518,1.0,2386.0,1.0,31.0,Computer
519,1.0,2386.0,1.0,31.0,Computer
520,1.0,2386.0,1.0,31.0,Computer
521,0,2385.0,2,32.0,Computer
522,0,2385.0,2,32.0,Computer
523,0,2385.0,2,32.0,Computer
524,1.0,2386.0,1.0,31.0,Computer
525,1.0,2386.0,1.0,31.0,Computer
526,1.0,2386.0,1.0,31.0,Computer
527,1.0,2386.0,1.0,31.0,Computer
528,1.0,2386.0,1.0,31.0,Computer
529,1.0,2386.0,1.0,31.0,Computer
530,1.0,2386.0,1.0,31.0,Computer
531,1.0,2386.0,1.0,31.0,Computer
532,1.0,2386.0,1.0,31.0,Computer
533,0,2385.0,2,32.0,Computer
534,1.0,2386.0,1.0,31.0,Computer
535,1.0,2386.0,1.0,31.0,Computer
536,1.0,2400.0,1.0,17.0,ComputerKeyboard
537,0,2399.0,2,18.0,ComputerKeyboard
538,0,2399.0,2,18.0,ComputerKeyboard
539,0,2399.0,2,18.0,ComputerKeyboard
540,1.0,2400.0,1.0,17.0,ComputerKeyboard
541,1.0,2400.0,1.0,17.0,ComputerKeyboard
542,1.0,2400.0,1.0,17.0,ComputerKeyboard
543,0,2399.0,2,18.0,ComputerKeyboard
544,0,2399.0,2,18.0,ComputerKeyboard
545,0,2399.0,2,18.0,ComputerKeyboard
546,1.0,2400.0,1.0,17.0,ComputerKeyboard
547,0,2399.0,2,18.0,ComputerKeyboard
548,0,2399.0,2,18.0,ComputerKeyboard
549,0,2399.0,2,18.0,ComputerKeyboard
550,0,2399.0,2,18.0,ComputerKeyboard
551,1.0,2400.0,1.0,17.0,ComputerKeyboard
552,1.0,2400.0,1.0,17.0,ComputerKeyboard
553,1.0,2400.0,1.0,17.0,ComputerKeyboard
554,0,2389.0,2,28.0,Cup
555,0,2389.0,2,28.0,Cup
556,0,2389.0,2,28.0,Cup
557,1.0,2390.0,1.0,27.0,Cup
558,0,2389.0,2,28.0,Cup
559,1.0,2390.0,1.0,27.0,Cup
