,TP,TN,FP,FN,Class
156,43.0,887.0,1488.0,1.0,Biplane
157,43.0,856.0,1519.0,1.0,Biplane
158,43.0,763.0,1612.0,1.0,Biplane
159,43.0,810.0,1565.0,1.0,Biplane
160,43.0,819.0,1556.0,1.0,Biplane
161,43.0,809.0,1566.0,1.0,Biplane
162,43.0,807.0,1568.0,1.0,Biplane
163,43.0,790.0,1585.0,1.0,Biplane
164,39.0,839.0,1537.0,4.0,Bird
165,42.0,629.0,1747.0,1.0,Bird
166,39.0,812.0,1564.0,4.0,Bird
167,39.0,801.0,1575.0,4.0,Bird
168,39.0,843.0,1533.0,4.0,Bird
169,39.0,863.0,1513.0,4.0,Bird
170,39.0,910.0,1466.0,4.0,Bird
171,41.0,789.0,1587.0,2.0,Bird
172,39.0,853.0,1523.0,4.0,Bird
173,39.0,790.0,1586.0,4.0,Bird
174,39.0,823.0,1553.0,4.0,Bird
175,39.0,874.0,1502.0,4.0,Bird
176,39.0,860.0,1516.0,4.0,Bird
177,39.0,894.0,1482.0,4.0,Bird
178,39.0,839.0,1537.0,4.0,Bird
179,39.0,800.0,1576.0,4.0,Bird
180,39.0,820.0,1556.0,4.0,Bird
181,39.0,790.0,1586.0,4.0,Bird
182,39.0,863.0,1513.0,4.0,Bird
183,39.0,866.0,1510.0,4.0,Bird
184,42.0,634.0,1742.0,1.0,Bird
185,41.0,716.0,1660.0,2.0,Bird
186,41.0,743.0,1633.0,2.0,Bird
187,13.0,1128.0,1248.0,30.0,Bird
188,41.0,687.0,1689.0,2.0,Bird
189,42.0,564.0,1812.0,1.0,Bird
190,39.0,839.0,1537.0,4.0,Bird
191,7.0,1625.0,751.0,36.0,Bird
192,42.0,652.0,1724.0,1.0,Bird
193,39.0,787.0,1589.0,4.0,Bird
194,39.0,863.0,1513.0,4.0,Bird
195,39.0,784.0,1592.0,4.0,Bird
196,39.0,892.0,1484.0,4.0,Bird
197,39.0,853.0,1523.0,4.0,Bird
198,38.0,925.0,1451.0,5.0,Bird
199,38.0,920.0,1456.0,5.0,Bird
200,39.0,846.0,1530.0,4.0,Bird
201,39.0,863.0,1513.0,4.0,Bird
202,39.0,843.0,1533.0,4.0,Bird
203,41.0,714.0,1662.0,2.0,Bird
204,40.0,734.0,1642.0,3.0,Bird
205,12.0,1386.0,990.0,31.0,Bird
206,42.0,619.0,1757.0,1.0,Bird
207,3.0,2397.0,4.0,15.0,Bookset
208,0,2397.0,4,18.0,Bookset
209,0,2400.0,1,18.0,Bookset
210,1.0,745.0,1656.0,17.0,Bookset
211,1.0,2152.0,249.0,17.0,Bookset
212,5.0,2389.0,12.0,13.0,Bookset
213,0,2387.0,14,18.0,Bookset
214,1.0,2400.0,1.0,17.0,Bookset
215,0,2383.0,18,18.0,Bookset
216,3.0,2346.0,55.0,15.0,Bookset
217,3.0,2378.0,23.0,15.0,Bookset
218,0,2400.0,1,18.0,Bookset
219,5.0,2387.0,14.0,13.0,Bookset
220,0,2400.0,1,18.0,Bookset
221,3.0,2397.0,4.0,15.0,Bookset
222,0,2399.0,2,18.0,Bookset
223,2.0,1923.0,478.0,16.0,Bookset
224,1.0,2400.0,1.0,17.0,Bookset
225,20.0,1817.0,573.0,9.0,Bottle
226,18.0,1880.0,510.0,11.0,Bottle
227,18.0,665.0,1725.0,11.0,Bottle
228,4.0,2375.0,15.0,25.0,Bottle
229,6.0,806.0,1584.0,23.0,Bottle
230,15.0,620.0,1770.0,14.0,Bottle
231,15.0,613.0,1777.0,14.0,Bottle
232,18.0,2068.0,322.0,11.0,Bottle
233,20.0,1841.0,549.0,9.0,Bottle
234,12.0,598.0,1792.0,17.0,Bottle
235,10.0,2354.0,36.0,19.0,Bottle
236,6.0,775.0,1615.0,23.0,Bottle
237,5.0,2369.0,21.0,24.0,Bottle
238,18.0,2117.0,273.0,11.0,Bottle
239,13.0,573.0,1817.0,16.0,Bottle
240,20.0,1567.0,823.0,9.0,Bottle
241,5.0,2363.0,27.0,24.0,Bottle
242,17.0,2223.0,167.0,12.0,Bottle
243,21.0,1577.0,813.0,8.0,Bottle
244,21.0,1424.0,966.0,8.0,Bottle
245,22.0,1651.0,739.0,7.0,Bottle
246,18.0,1939.0,451.0,11.0,Bottle
247,21.0,1829.0,561.0,8.0,Bottle
248,20.0,2225.0,165.0,9.0,Bottle
249,21.0,1467.0,923.0,8.0,Bottle
250,18.0,2077.0,313.0,11.0,Bottle
251,19.0,2078.0,312.0,10.0,Bottle
252,16.0,2312.0,78.0,13.0,Bottle
253,21.0,1652.0,738.0,8.0,Bottle
254,18.0,1663.0,713.0,25.0,BuildingNonResidential
255,25.0,1234.0,1142.0,18.0,BuildingNonResidential
256,12.0,1868.0,508.0,31.0,BuildingNonResidential
257,27.0,722.0,1654.0,16.0,BuildingNonResidential
258,2.0,2360.0,16.0,41.0,BuildingNonResidential
259,24.0,680.0,1696.0,19.0,BuildingNonResidential
260,0,2294.0,82,43.0,BuildingNonResidential
261,23.0,652.0,1724.0,20.0,BuildingNonResidential
262,13.0,920.0,1456.0,30.0,BuildingNonResidential
263,21.0,1047.0,1329.0,22.0,BuildingNonResidential
264,16.0,2097.0,279.0,27.0,BuildingNonResidential
265,14.0,2141.0,235.0,29.0,BuildingNonResidential
266,24.0,1169.0,1207.0,19.0,BuildingNonResidential
267,17.0,2052.0,324.0,26.0,BuildingNonResidential
268,17.0,1910.0,466.0,26.0,BuildingNonResidential
269,3.0,2361.0,15.0,40.0,BuildingNonResidential
